,feature,slice,instances,precision,recall,f1
0,workclass,Private,4543,0.732650739476678,0.6326129666011788,0.6789667896678968
1,workclass,Self-emp-not-inc,518,0.7314814814814815,0.6076923076923076,0.6638655462184874
2,workclass,Local-gov,396,0.7314814814814815,0.6929824561403509,0.7117117117117118
3,workclass,?,383,0.5,0.23333333333333334,0.3181818181818182
4,workclass,State-gov,279,0.6557377049180327,0.6060606060606061,0.6299212598425197
5,workclass,Self-emp-inc,201,0.7931034482758621,0.8214285714285714,0.8070175438596492
6,workclass,Federal-gov,190,0.7808219178082192,0.76,0.7702702702702703
0,education,HS-grad,2106,0.6164383561643836,0.41284403669724773,0.4945054945054945
1,education,Some-college,1433,0.6556603773584906,0.54296875,0.594017094017094
2,education,Bachelors,1074,0.7566371681415929,0.7533039647577092,0.7549668874172184
3,education,Masters,335,0.8526315789473684,0.8350515463917526,0.84375
4,education,Assoc-voc,300,0.625,0.5970149253731343,0.6106870229007634
5,education,Assoc-acdm,224,0.6808510638297872,0.5925925925925926,0.6336633663366336
6,education,11th,217,0.8333333333333334,0.5,0.625
7,education,10th,183,1.0,0.25,0.4
8,education,7th-8th,131,0.5,0.5,0.5
9,education,Prof-school,118,0.8837209302325582,0.8941176470588236,0.888888888888889
10,education,9th,99,1.0,0.0,0.0
11,education,Doctorate,90,0.821917808219178,0.8695652173913043,0.8450704225352113
12,education,12th,86,0.3333333333333333,0.2,0.25
13,education,5th-6th,73,1.0,0.3333333333333333,0.5
14,education,1st-4th,37,1.0,1.0,1.0
0,marital-status,Married-civ-spouse,3019,0.7272727272727273,0.7051671732522796,0.7160493827160493
1,marital-status,Never-married,2121,0.8205128205128205,0.32323232323232326,0.463768115942029
2,marital-status,Divorced,882,0.84375,0.3103448275862069,0.45378151260504207
3,marital-status,Separated,211,0.8333333333333334,0.35714285714285715,0.5
4,marital-status,Widowed,188,1.0,0.07142857142857142,0.13333333333333333
5,marital-status,Married-spouse-absent,86,1.0,0.4166666666666667,0.5882352941176471
0,occupation,Prof-specialty,859,0.7877237851662404,0.7979274611398963,0.7927927927927928
1,occupation,Exec-managerial,812,0.7989690721649485,0.7788944723618091,0.7888040712468194
2,occupation,Craft-repair,780,0.6060606060606061,0.5298013245033113,0.5653710247349825
3,occupation,Adm-clerical,759,0.6296296296296297,0.49514563106796117,0.5543478260869565
4,occupation,Sales,712,0.6941176470588235,0.5959595959595959,0.641304347826087
5,occupation,Other-service,625,0.8,0.14814814814814814,0.25
6,occupation,Machine-op-inspct,405,0.5925925925925926,0.35555555555555557,0.4444444444444444
7,occupation,?,383,0.5,0.23333333333333334,0.3181818181818182
8,occupation,Transport-moving,320,0.6190476190476191,0.4,0.485981308411215
9,occupation,Handlers-cleaners,285,0.6666666666666666,0.11764705882352941,0.2
10,occupation,Tech-support,206,0.7166666666666667,0.6935483870967742,0.7049180327868854
11,occupation,Farming-fishing,203,0.6666666666666666,0.35294117647058826,0.46153846153846156
12,occupation,Protective-serv,126,0.7297297297297297,0.5869565217391305,0.6506024096385542
13,occupation,Priv-house-serv,38,1.0,1.0,1.0
0,relationship,Husband,2639,0.7233661593554163,0.7093942054433714,0.7163120567375886
1,relationship,Not-in-family,1669,0.8169014084507042,0.31868131868131866,0.458498023715415
2,relationship,Own-child,984,1.0,0.2,0.33333333333333337
3,relationship,Unmarried,661,1.0,0.28125,0.43902439024390244
4,relationship,Wife,344,0.7515923566878981,0.686046511627907,0.7173252279635258
5,relationship,Other-relative,216,1.0,0.3,0.4615384615384615
0,race,White,5535,0.7340425531914894,0.6476534296028881,0.6881472957422324
1,race,Black,615,0.7538461538461538,0.620253164556962,0.6805555555555556
2,race,Asian-Pac-Islander,232,0.7142857142857143,0.6818181818181818,0.6976744186046512
3,race,Other,72,1.0,0.4444444444444444,0.6153846153846153
4,race,Amer-Indian-Eskimo,59,0.6,0.5,0.5454545454545454
0,sex,Male,4337,0.7299829642248722,0.663312693498452,0.6950527169505272
1,sex,Female,2176,0.7621621621621621,0.5573122529644269,0.6438356164383561
0,native-country,United-States,5823,0.7376916868442293,0.6477675407512402,0.689811320754717
1,native-country,Mexico,135,0.6,0.5,0.5454545454545454
2,native-country,?,123,0.75,0.7714285714285715,0.7605633802816902
3,native-country,Philippines,41,0.8,0.6153846153846154,0.6956521739130435
4,native-country,Germany,29,0.6,0.5,0.5454545454545454
5,native-country,India,25,0.7272727272727273,0.8,0.761904761904762
